race_id,競輪場,レース番号,開始時間,自信度,判定,推奨3車ボックス,推奨選手,購入点数,購入金額
1220260730020001,青森競輪,1R,08:30,0.1147,見送り,,4-1-2,0,0
6320260731010001,防府競輪,1R,08:40,0.1116,見送り,,7-3-1,0,0
1220260730020002,青森競輪,2R,08:50,0.0228,見送り,,5-1-4,0,0
6320260731010002,防府競輪,2R,09:00,0.287,見送り,,5-1-3,0,0
1220260730020003,青森競輪,3R,09:10,0.3407,見送り,,5-3-6,0,0
6320260731010003,防府競輪,3R,09:20,0.1444,見送り,,1-4-3,0,0
1220260730020004,青森競輪,4R,09:30,0.1021,見送り,,7-2-4,0,0
6320260731010004,防府競輪,4R,09:40,0.1418,見送り,,3-5-7,0,0
1220260730020005,青森競輪,5R,09:50,0.0999,見送り,,4-2-1,0,0
6320260731010005,防府競輪,5R,10:00,0.391,見送り,,5-3-7,0,0
1220260730020006,青森競輪,6R,10:10,0.4019,見送り,,7-1-2,0,0
6320260731010006,防府競輪,6R,10:20,0.4779,購入,"=""4-3-6""",4-3-6,6,600
1220260730020007,青森競輪,7R,10:30,0.5732,購入,"=""7-4-2""",7-4-2,6,600
6320260731010007,防府競輪,7R,10:40,0.5284,購入,"=""1-4-6""",1-4-6,6,600
8520260731010001,佐世保競輪,1R,10:45,0.1858,見送り,,1-3-7,0,0
5520260729030001,和歌山競輪,1R,10:53,0.19,見送り,,5-1-4,0,0
4320260730020001,岐阜競輪,1R,11:01,0.1573,見送り,,2-1-7,0,0
8520260731010002,佐世保競輪,2R,11:09,0.1633,見送り,,2-7-4,0,0
5520260729030002,和歌山競輪,2R,11:17,0.0973,見送り,,5-3-2,0,0
4320260730020002,岐阜競輪,2R,11:25,0.4204,見送り,,2-4-6,0,0
8520260731010003,佐世保競輪,3R,11:34,0.1306,見送り,,2-5-1,0,0
5520260729030003,和歌山競輪,3R,11:43,0.2548,見送り,,5-1-4,0,0
4320260730020003,岐阜競輪,3R,11:52,0.0825,見送り,,5-1-4,0,0
8520260731010004,佐世保競輪,4R,12:01,0.3035,見送り,,1-4-7,0,0
5520260729030004,和歌山競輪,4R,12:10,0.2579,見送り,,1-2-5,0,0
4320260730020004,岐阜競輪,4R,12:19,0.2212,見送り,,5-2-7,0,0
8520260731010005,佐世保競輪,5R,12:28,0.035,見送り,,2-1-5,0,0
