race_id,買い目,odds,p,EV,rank_in_race,settled,sanrentan_result,stake,hit,payout,profit,bankroll_after
1120260409020001,2-6-1,2251.3,0.0096704365243467,20.77105374726192,1,True,4-1-7,400,False,0,-400,
1120260409020001,1-6-2,5628.2,0.0035141996667643,18.778618564483192,2,True,4-1-7,100,False,0,-100,
1120260409020001,6-3-5,9999.9,0.0019173964548797,18.17377280915177,3,True,4-1-7,0,False,0,0,
1120260409020002,5-1-2,1658.5,0.0073382987449557,11.17056846850912,1,True,3-2-1,300,False,0,-300,
1120260409020002,6-7-5,8956.0,0.0012257860903175,9.978140224883704,2,True,3-2-1,0,False,0,0,
1120260409020002,6-5-7,8141.8,0.0012262722561386,8.984063455029576,3,True,3-2-1,0,False,0,0,
1120260409020003,2-1-5,7630.7,0.0036039177105185,26.500414873654204,1,False,,0,False,0,0,99200.0
1120260409020003,2-1-3,7630.7,0.0030169643278599,22.02154969660092,2,False,,0,False,0,0,99200.0
1120260409020003,2-1-7,5661.5,0.0034339366493271,18.441232340165765,3,False,,0,False,0,0,99200.0
1120260409020004,5-1-6,5146.6,0.0047769432971846,23.58501637329039,1,False,,0,False,0,0,99200.0
1120260409020004,2-1-3,4750.7,0.0027525033632956,12.076317728008611,2,False,,0,False,0,0,99200.0
1120260409020004,3-1-2,3860.0,0.0032628547574022,11.594619363572816,3,False,,0,False,0,0,99200.0
1120260409020005,6-2-7,9999.9,0.0044134858411755,43.1344170631709,1,False,,0,False,0,0,99200.0
1120260409020005,6-3-2,9999.9,0.0043047916045408,42.047485566248,2,False,,0,False,0,0,99200.0
1120260409020005,6-2-3,9999.9,0.0042289163714196,41.288740822559376,3,False,,0,False,0,0,99200.0
1120260409020006,5-3-7,9999.9,0.0055506644590648,54.50608952420291,1,False,,0,False,0,0,99200.0
1120260409020006,5-3-6,7623.5,0.0070117477926937,52.454059297600686,2,False,,0,False,0,0,99200.0
1120260409020006,2-6-7,9999.9,0.0047773044350069,46.77256661962589,3,False,,0,False,0,0,99200.0
1120260409020007,6-3-7,565.5,0.0092349932290985,4.222388671055239,1,False,,0,False,0,0,99200.0
1120260409020007,6-4-1,522.0,0.0098867988301841,4.160908989356133,2,False,,0,False,0,0,99200.0
1120260409020007,7-4-3,452.4,0.0097200527477819,3.397351863096538,3,False,,0,False,0,0,99200.0
1120260409020008,7-6-4,1660.5,0.008703856719451,13.452754082648417,1,False,,0,False,0,0,99200.0
1120260409020008,7-6-5,1660.5,0.0081701995800951,12.566616402748052,2,False,,0,False,0,0,99200.0
1120260409020008,7-6-2,1660.5,0.0074940058116378,11.44379665022473,3,False,,0,False,0,0,99200.0
1120260409020009,7-6-3,9999.9,0.0062957843899623,61.95721432118469,1,False,,0,False,0,0,99200.0
1120260409020009,7-3-6,4786.5,0.0061517562904263,28.445381484125715,2,False,,0,False,0,0,99200.0
1120260409020009,6-1-5,9999.9,0.0021724107330121,20.723890089048584,3,False,,0,False,0,0,99200.0
1120260409020010,1-6-5,9999.9,0.0058117158111153,57.11657693957239,1,False,,0,False,0,0,99200.0
